idx kmer revcKmer DACC PseDNC
12 1 -1 -1 -1 -1
14 1 -1 -1 -1 -1
15 1 -1 -1 -1 -1
18 1 -1 -1 -1 -1
22 1 -1 -1 -1 -1
24 1 -1 -1 -1 -1
27 1 -1 1 1 -1
31 1 -1 -1 -1 -1
33 1 -1 -1 -1 1
35 1 1 -1 -1 1
36 1 -1 -1 -1 -1
37 1 -1 -1 -1 -1
41 1 -1 -1 -1 -1
43 1 -1 1 -1 -1
46 1 -1 -1 -1 -1
49 1 -1 -1 -1 -1
50 1 -1 -1 -1 -1
55 1 -1 1 -1 1
56 1 -1 -1 -1 -1
57 1 -1 -1 -1 -1
58 1 -1 -1 -1 -1
60 1 -1 -1 -1 -1
62 1 -1 -1 -1 -1
64 1 -1 -1 -1 -1
65 1 -1 -1 -1 -1
70 1 -1 -1 -1 -1
71 1 -1 -1 -1 -1
72 1 1 1 -1 -1
78 1 -1 -1 -1 -1
79 1 -1 -1 -1 -1
82 1 -1 -1 1 -1
83 1 -1 -1 -1 -1
87 1 -1 -1 -1 -1
89 1 -1 -1 -1 -1
96 1 -1 -1 -1 -1
97 1 -1 -1 -1 -1
98 1 -1 1 1 -1
100 1 -1 -1 -1 -1
101 1 -1 -1 -1 -1
106 1 -1 -1 -1 -1
108 1 -1 -1 -1 -1
110 1 -1 -1 -1 -1
113 1 -1 -1 -1 -1
114 1 -1 1 -1 1
118 1 -1 -1 -1 -1
119 1 -1 -1 -1 -1
120 1 -1 -1 -1 -1
124 1 -1 -1 -1 -1
126 1 -1 -1 -1 -1
128 1 -1 -1 -1 -1
129 1 -1 -1 -1 -1
131 1 -1 -1 -1 -1
133 1 -1 -1 -1 -1
138 1 -1 -1 -1 -1
140 1 -1 -1 -1 -1
144 1 -1 -1 -1 -1
145 1 -1 1 -1 1
149 1 -1 -1 -1 -1
152 1 -1 -1 -1 -1
153 1 -1 -1 -1 -1
159 1 -1 -1 -1 -1
160 1 -1 -1 -1 -1
161 1 -1 -1 -1 -1
168 1 -1 -1 -1 -1
169 1 -1 1 -1 -1
172 1 -1 -1 -1 -1
177 1 -1 -1 -1 -1
179 1 -1 -1 -1 -1
181 1 -1 -1 -1 -1
184 1 -1 1 -1 -1
186 1 -1 -1 -1 -1
187 1 -1 -1 -1 -1
189 1 1 1 -1 -1
190 1 1 -1 -1 1
199 1 1 1 -1 -1
200 1 -1 -1 -1 -1
202 1 -1 -1 -1 -1
206 1 -1 -1 1 1
210 1 1 -1 1 -1
211 1 -1 -1 -1 -1
213 1 -1 -1 -1 -1
216 1 -1 -1 -1 -1
219 1 -1 1 -1 -1
222 1 -1 -1 -1 -1
227 1 -1 -1 -1 -1
233 1 -1 -1 -1 -1
236 1 -1 -1 -1 -1
239 1 -1 -1 -1 -1
242 1 -1 -1 -1 -1
243 1 -1 -1 -1 -1
247 1 -1 -1 -1 -1
248 1 -1 1 -1 -1
249 1 -1 -1 -1 -1
252 1 -1 -1 -1 -1
253 1 -1 -1 -1 -1
257 1 -1 -1 -1 -1
259 1 -1 -1 -1 -1
261 1 -1 -1 1 -1
262 1 -1 -1 -1 -1
264 1 -1 -1 -1 -1
265 1 -1 1 -1 -1
267 1 -1 -1 -1 -1
268 1 -1 1 -1 1
270 1 -1 -1 -1 -1
272 1 -1 -1 -1 -1
273 1 -1 -1 -1 -1
275 1 -1 1 1 -1
280 1 -1 -1 -1 -1
